Date,FIPS,Longitude,Latitude,CO_ppbv,NO_ppbv,NO2_ppbv,NOX_ppbv,SO2_ppbv,ALD2_ppbv,FORM_ppbv,pm25_daily_average,pm25_daily_average_stderr,ozone_daily_8hour_maximum,ozone_daily_8hour_maximum_stderr
2010/04/30,25001012101,-70.23855999999999,41.66962,185.39169,0.87208,8.0279,8.899980000000001,1.2614,0.5482899999999999,1.08299,6.865,2.0287,56.521,5.6974
2010/05/01,25001012101,-70.23855999999999,41.66962,216.95364,0.60724,8.99141,9.59865,1.47441,0.83899,1.35944,7.729,2.7105,58.823,6.7332
2010/05/02,25001012101,-70.23855999999999,41.66962,150.96005,0.19548,2.09066,2.28614,0.42391,0.41921,0.44151,11.825,3.9732,52.199,6.5611
2010/05/03,25001012101,-70.23855999999999,41.66962,153.55029,0.53489,4.11848,4.65337,0.39185,0.8810600000000001,0.56555,9.184,2.5872,42.552,6.1112
2010/05/04,25001012101,-70.23855999999999,41.66962,172.4238,0.80345,5.87873,6.682180000000001,0.97281,0.75826,0.6662600000000001,6.193,2.0897,60.791,6.3806
2010/05/05,25001012101,-70.23855999999999,41.66962,159.05972,0.6602899999999999,4.72633,5.38662,0.6531100000000001,0.6592100000000001,0.68384,6.849,2.0179,66.303,6.3235
2010/05/06,25001012101,-70.23855999999999,41.66962,158.61758,0.22564,2.80225,3.02789,0.50684,0.39405,0.45019,7.761,2.4745,57.62,5.965
2010/05/07,25001012101,-70.23855999999999,41.66962,137.77866,0.55955,3.29903,3.85858,0.47117,0.39688,0.54266,4.501,1.9715,44.256,5.0126
2010/05/08,25001012101,-70.23855999999999,41.66962,147.76357,0.12645,2.88825,3.0147,0.5389,0.44948,0.49322,8.072000000000001,2.1665,48.234,5.2985
2010/05/09,25001012101,-70.23855999999999,41.66962,127.7506,0.15995,1.57638,1.73633,0.23895,0.26509,0.30814,2.533,1.5207,36.361,4.0233
2010/05/10,25001012101,-70.23855999999999,41.66962,124.57404,0.356,1.74598,2.10199,0.52798,0.17703,0.3202,4.338,1.8166,47.24100000000001,4.4092
2010/05/11,25001012101,-70.23855999999999,41.66962,134.03456,0.1715,2.0636,2.2351,0.38485,0.1994,0.4291899999999999,4.791,1.6354,49.703,5.1634
2010/05/12,25001012101,-70.23855999999999,41.66962,145.52803,0.17745,2.90269,3.08014,0.5280199999999999,0.19217,0.28809,5.513999999999999,2.3839,49.276,5.3925
2010/05/13,25001012101,-70.23855999999999,41.66962,167.82132,0.6223,4.71731,5.33961,0.5514100000000001,0.3589199999999999,0.5421699999999999,6.171,2.45,51.927,5.9110000000000005
2010/05/14,25001012101,-70.23855999999999,41.66962,170.19539,0.27352,3.63256,3.90608,0.41766,0.31389,0.3085699999999999,8.939,2.3165,50.448,5.9126
2010/05/15,25001012101,-70.23855999999999,41.66962,164.21939,0.24863,2.88954,3.13817,0.44626,0.55493,0.59688,6.422999999999999,2.2880000000000003,44.703,5.689
2010/05/16,25001012101,-70.23855999999999,41.66962,173.39317,0.15535,4.12277,4.27812,0.60705,0.6833100000000001,0.8947200000000001,5.149,1.9732,42.764,5.4761
2010/05/17,25001012101,-70.23855999999999,41.66962,156.77637,0.72809,5.80172,6.52982,1.17889,0.61615,1.0093299999999998,4.964,1.4208,43.06800000000001,5.3549
2010/05/18,25001012101,-70.23855999999999,41.66962,128.73541,0.5050100000000001,4.12523,4.630240000000001,0.4275,0.20184,0.2922099999999999,5.2010000000000005,1.7733,42.66,5.0848
2010/05/19,25001012101,-70.23855999999999,41.66962,113.26451000000002,0.24552,1.7071900000000002,1.9527,0.06267,0.1008299999999999,0.08184,2.167,1.3639,43.833,5.8509
2010/05/20,25001012101,-70.23855999999999,41.66962,147.84378,0.58265,5.60942,6.192069999999999,0.58606,0.4173,0.6178600000000001,4.405,1.5829,46.629,5.522
2010/05/21,25001012101,-70.23855999999999,41.66962,155.535,0.44631,5.23351,5.679819999999999,0.7542,0.8282299999999999,0.9916,6.811,2.3495,40.09,5.0346
2010/05/22,25001012101,-70.23855999999999,41.66962,128.06317,0.28102,2.58243,2.86345,0.59564,0.41266,0.53861,6.255,2.1595,39.129,4.8083
2010/05/23,25001012101,-70.23855999999999,41.66962,126.81317,0.19407,1.63204,1.82612,0.13134,0.25944,0.38539,6.4270000000000005,1.8342,37.366,4.508
2010/05/24,25001012101,-70.23855999999999,41.66962,128.13065,0.5636399999999999,2.94906,3.5127,0.19725,0.3254599999999999,0.54067,5.32,2.1283,40.151,5.1142
2010/05/25,25001012101,-70.23855999999999,41.66962,113.1532,0.47738,3.09649,3.5738800000000004,0.23721,0.41473,0.6145,6.42,2.2941,39.996,5.3564
2010/05/26,25001012101,-70.23855999999999,41.66962,154.32474,0.57505,4.415430000000001,4.990480000000001,1.4573,1.7211,2.42142,10.778,2.5204,65.316,7.0114
2010/05/27,25001012101,-70.23855999999999,41.66962,133.61398,0.19083,2.39883,2.58966,0.25242,0.75688,0.4929699999999999,6.019,2.5449,36.757,5.1054
2010/05/28,25001012101,-70.23855999999999,41.66962,122.45751,0.31079,2.31087,2.62166,0.53469,0.42532,0.48495,5.237,2.3221,38.569,5.4766
2010/05/29,25001012101,-70.23855999999999,41.66962,115.76175,0.15207,2.3161400000000003,2.46821,0.43237,0.33379,0.51362,5.3420000000000005,1.8947,41.927,6.0074
2010/05/30,25001012101,-70.23855999999999,41.66962,129.59918000000002,0.22696,1.77447,2.00144,0.54078,0.86966,0.91658,9.487,2.8048,44.651,5.8553
2010/05/31,25001012101,-70.23855999999999,41.66962,136.56978999999998,0.1446599999999999,3.40345,3.54811,0.70234,0.90511,1.12178,21.857,5.5136,52.596,6.3969
2010/06/01,25001012101,-70.23855999999999,41.66962,124.43777,0.13833,1.80523,1.94356,0.2229,0.49845,0.43812,13.834,4.0569,45.069,5.8773
2010/06/02,25001012101,-70.23855999999999,41.66962,156.41795,0.31573,2.82095,3.13668,0.14347,0.74106,0.60005,7.59,2.8131,43.121,6.0862
2010/06/03,25001012101,-70.23855999999999,41.66962,128.4554,0.17906,1.89375,2.07282,0.0938,0.5068,0.38451,8.849,2.8188,47.87300000000001,6.8462
2010/06/04,25001012101,-70.23855999999999,41.66962,153.798,0.27631,2.37264,2.64895,0.1270099999999999,0.7563,0.80537,8.861,2.1586,50.393,7.0047
2010/06/05,25001012101,-70.23855999999999,41.66962,167.2023,0.15732,2.86496,3.02228,0.29256,0.7911600000000001,0.59573,14.182,3.7639,59.2,7.6498
2010/06/06,25001012101,-70.23855999999999,41.66962,178.90393,0.1645,2.23849,2.40298,0.35777,1.00658,0.69317,12.181,3.8226,50.926,6.3759
2010/06/07,25001012101,-70.23855999999999,41.66962,127.83913,0.19779,1.95902,2.15681,0.28843,0.6583899999999999,0.57828,3.887,1.6504,40.037,5.7431
2010/06/08,25001012101,-70.23855999999999,41.66962,164.35303000000002,0.53381,6.7671,7.30092,0.47556,0.76125,1.07097,5.223,2.4424,34.95,5.1214
2010/06/09,25001012101,-70.23855999999999,41.66962,155.44576,0.65667,5.44762,6.10429,0.51879,0.6188100000000001,0.6642100000000001,4.765,1.9865,39.574,5.7291
2010/06/10,25001012101,-70.23855999999999,41.66962,123.89907,0.23544,2.5864700000000003,2.82191,0.08989,0.3099,0.19129,2.809,1.4282,40.643,5.3349
2010/06/11,25001012101,-70.23855999999999,41.66962,110.0834,0.21422,1.59549,1.8097,0.0614399999999999,0.28568,0.42489,3.646,2.0299,37.533,5.5261
2010/06/12,25001012101,-70.23855999999999,41.66962,137.73563,0.18125,2.9015,3.08275,0.32918,0.38471,0.71808,5.89,2.3318,40.837,5.6278
