esri_id,esri_idn,GEOID,stcnty,total_pop2016,total_25plus,nHwtindiv,prp_nHwHHs,prp_HSminus,prp_no_auto,prp_not_insured,EstPropPersons5PlusNoEnglish,median_HH_inc
370010212051,370010212051,15000US370010212051,37001,1055,822,0.9004739336,0.9071274298,0.1216545012,0,0.0174927114,0.0827447023,97589
370010212052,370010212052,15000US370010212052,37001,1054,774,0.6290322581,0.5982142857,0.5490956072,0.0267857143,0.0825426945,0.0891840607,56250
370010212053,370010212053,15000US370010212053,37001,3470,2086,0.6319884726,0.6310122039,0.303451582,0.0179468772,0.090778098,0.0167580743,43761
370010212061,370010212061,15000US370010212061,37001,1400,788,0.6678571429,0.8815489749,0.597715736,0.0182232346,0.1814285714,0.1393239901,35987
370010212062,370010212062,15000US370010212062,37001,2500,1574,0.606,0.68735363,0.3100381194,0.037470726,0.1056,0.0793650794,65781
370010212063,370010212063,15000US370010212063,37001,1524,941,0.6010498688,0.6420361248,0.3836344315,0.0147783251,0.093832021,0.0455840456,37102
370010212071,370010212071,15000US370010212071,37001,1922,1351,0.8085327784,0.8,0.4433752776,0.0476821192,0.0962539022,0.0305676856,35673
370010212072,370010212072,15000US370010212072,37001,1612,1260,0.8213399504,0.8840169731,0.3571428571,0.0169731259,0.040942928,0.1051600261,48631
370010213001,370010213001,15000US370010213001,37001,1429,1039,0.6235129461,0.7254901961,0.552454283,0.0409982175,0.1313920455,0.0892086331,45804
370010213002,370010213002,15000US370010213002,37001,1265,876,0.4964426877,0.5115303983,0.5342465753,0.035639413,0.1588932806,0.0475799836,40515
370010213003,370010213003,15000US370010213003,37001,1031,719,0.5160038797,0.4432432432,0.5674547983,0.0189189189,0.1338506305,0.0866388309,45147
370010213004,370010213004,15000US370010213004,37001,1386,980,0.7784992785,0.7810077519,0.2,0,0.0468975469,0.0748898678,105789
370010213005,370010213005,15000US370010213005,37001,891,700,0.5757575758,0.6189320388,0.5614285714,0.0558252427,0.1889140271,0.0518256773,30938
370010214001,370010214001,15000US370010214001,37001,1703,1259,0.9054609513,0.9243243243,0.5615567911,0.0621621622,0.1632413388,0.04576376,36136
370010214002,370010214002,15000US370010214002,37001,1027,841,0.9298928919,0.9648351648,0.6052318668,0.0395604396,0.1168451801,0.0179282869,51921
370010215001,370010215001,15000US370010215001,37001,1313,1021,0.8347296268,0.8540772532,0.4769833497,0,0.1447067784,0.0756302521,55278
370010215002,370010215002,15000US370010215002,37001,1366,981,0.8243045388,0.8014059754,0.2864424057,0,0.1120058565,0.0646417445,51049
370010215003,370010215003,15000US370010215003,37001,729,535,0.9382716049,0.9454545455,0.5420560748,0,0.0946502058,0.0212443096,51384
370010215004,370010215004,15000US370010215004,37001,1362,1015,0.8898678414,0.8875968992,0.4581280788,0,0.1769456681,0.0215550423,53182
370010216001,370010216001,15000US370010216001,37001,1053,786,0.7521367521,0.8655256724,0.4440203562,0.0880195599,0.1937321937,0.0247279921,38615
370010216002,370010216002,15000US370010216002,37001,1523,1033,0.9238345371,0.9517470882,0.6369796709,0.0149750416,0.130006566,0.0472103004,53036
370010216003,370010216003,15000US370010216003,37001,1949,1179,0.6926629041,0.7410958904,0.3129770992,0.0205479452,0.1872755259,0.0295652174,36455
370010216004,370010216004,15000US370010216004,37001,2962,495,0.8214044564,0.9068010076,0.1616161616,0,0.0587440918,0.0769752458,58194
370010217011,370010217011,15000US370010217011,37001,1085,859,0.9714285714,0.9896049896,0.0884749709,0.0374220374,0,0.0534562212,113565
370010217012,370010217012,15000US370010217012,37001,1446,1010,0.90802213,0.9265734266,0.1574257426,0,0.051175657,0.043956044,98846
370010217013,370010217013,15000US370010217013,37001,675,675,0.9614814815,1,0.2548148148,0.1607929515,0,0,43788
